ID,Country of Residence,Nationality,Gender,Age,Marital status,Field of Research,Designation [Career Stage],Work environment,Please indicate the total number of MALE group leaders/ bosses you have worked with.,Please indicate the total number of FEMALE group leaders/ bosses you have worked with.,Please indicate below the gender of your current boss.,Indicate the level of support that you have received from your MALE colleagues in the following roles? [Group leader],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Colleagues],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Clients],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Collaborators],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Parents],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Spouse],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Friends],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Group leader],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Colleagues],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Clients],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Collaborators],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Parents],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Spouse],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Friends],Have you faced workplace gender-bias/discrimination?  [Male collegue],Have you faced workplace gender-bias/discrimination?  [Female collegue],"If you have answered yes in the previous question, please specify from the following :",Have you witnessed workplace gender-bias/discrimination (directed towards other colleagues)?  [Male],Have you witnessed workplace gender-bias/discrimination (directed towards other colleagues)?  [Female],"If you have answered yes in the previous question, please specify from the following :",Did you personally respond to the incident?,Did you report the issue to the appropriate authority? ,Who is responsible for addressing such complaints in your work environment? ,How seriously were your complaints taken? ,How comfortable were you in objecting against and/or reporting this issue?,"Was there any POSITIVE impact/outcome from reporting the incident? (e.g. positive change in policy, setting an example for others, support from colleagues, better work environment etc.)","Was there any NEGATIVE impact/outcome from reporting the incident? (e.g. threats, grudges, emotional-distress, isolation at work, disapproval of colleague(s), unfriendly work environment etc.)",Who would you choose/prefer to work with? [Male boss/leader],Who would you choose/prefer to work with? [Female boss/leader],"How are leadership opportunities delegated to at your workplace (e.g. leading a project or a meeting, supervising, planning etc.)? [Male collegues]","How are leadership opportunities delegated to at your workplace (e.g. leading a project or a meeting, supervising, planning etc.)? [Female collegues]","Who performs the tasks not directly related to the scientific responsibilities ? (e.g. cleaning, arranging and organizing things in the lab, recording minutes of meetings etc.)  [Male collegues]","Who performs the tasks not directly related to the scientific responsibilities ? (e.g. cleaning, arranging and organizing things in the lab, recording minutes of meetings etc.)  [Female collegues]","Who volunteers for tasks that benefit the group or organization but not professionally? (e.g. making lab reagents, organizing outings, distributing information/flyers.) [Male collegues]","Who volunteers for tasks that benefit the group or organization but not professionally? (e.g. making lab reagents, organizing outings, distributing information/flyers.) [Female collegues]","If you volunteer for the above mentioned activities, please tell us what incentivizes you.","If you don't volunteer for the above mentioned activities, please tell us your reasons below. ",Have you ever been involved in activities or events to specifically to show support towards your female colleagues or colleagues from other minority groups?,"If your response to the previous question is YES, please provide more details about 'your involvement', 'nature of the event/activity', and 'impact of the event/activity'?",What kind of support at a workplace is most important for empowering female employees or employees from other minority groups?,Do you feel your workplace policies help you manage your professional and personal life?,"What is your group leader’s attitude towards personal leave (pregnancy, maternity/paternity leave, adoption, illness, family etc.) ?",Does your workplace offer sufficient leave of absence for personal reasons?  [Maternity leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Paternity leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Sick leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Family Leave],Does your workplace offer one or several of the following childcare and related support?
109,Germany,Mexico,Female,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,4,2,Male,Mostly,Moderately,Not Available,Moderately,Not Available,Not Available,Moderately,Mostly,Always,Not Available,Not Available,Not Available,Not Available,Always,Yes,No,"Sexual harrassment, Emotional harrassment, Mental harrassment",Yes,Yes,"Gender bias, Emotional harrassment","Yes, but I responded later.","No, I did not know whom to report.",I don't know.,No actions were taken.,Very comfortable,No,No,Maybe,Maybe,Always,Rarely,Never,Always,Sometimes,Sometimes,to help others,,Yes,spoke on their name to reduce their work load,to have and know the representatives ,Never,Never discussed,Sufficient,Sufficient,Sufficient,None,Extension of work contract to cover the personal leave
110,Germany,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,8,1,Male,Always,Moderately,Moderately,Moderately,Always,Always,Mostly,Always,Always,Always,Always,Always,Always,Always,Yes,No,"Mental harrassment, I faced Casteism by a male supervisor",Yes,No,Mental harrassment,"No, I was afraid of furthering the issue.","No, I did not know whom to report.",I don't know.,,Not comfortable,,,Yes,Yes,Mostly,Mostly,Mostly,Sometimes,Mostly,Always,,,"No, but I want to get involved",,"anti-caste, women complaint cell",Mostly,Supportive,Sufficient,Sufficient,Sufficient,None,"Extension of work contract to cover the personal leave, Flexible HR policy or other administrative support, Career support programs (meeting, workshop etc.) to empower working mothers, On-site or subsidized childcare (nursery, kindergarten), Nursing room(s), Changing platform for babies only in ladies toilets"
111,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,1,1,Male,Mostly,Moderately,Always,Always,Always,Always,Always,Rarely,Moderately,Always,Always,Always,Always,Always,Yes,Yes,Gender Bias,No,Yes,"Gender bias, Emotional harrassment","No, I was afraid of furthering the issue.","No, I was afraid of being misjudged.",I don't know.,,Somewhat comfortable,,,Yes,Maybe,Sometimes,Sometimes,Rarely,Mostly,Rarely,Mostly,,I am generally surprised that my female colleagues are always very enthusiastic about taking notes and organizing things that is not directly helpful to them. I am more inspired by my male colleagues.,Yes,,,Rarely,Unwelcome,Insufficient,Insufficient,Sufficient,Insufficient,None
112,Canada,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,4,1,Male,Moderately,Moderately,Moderately,Moderately,Mostly,Mostly,Moderately,Mostly,Moderately,Rarely,Mostly,Mostly,Not Available,Rarely,No,No,,No,Yes,Sexual harrassment,"Yes, I immediately responded.","Yes, I reported the issue.",Designated committee,Strict actions were taken.,Very comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, Better work environment",No,Maybe,Maybe,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,"For all these activities, we have lab manager. For cleaning, arranging and organizing, while each individual bench press a done by the person working on bench. The lab is cleaned and organized together once every few months.",,"No, I don’t have such opportunities",,Equality for all plus understanding. ,Mostly,Supportive,Sufficient,None,Sufficient,Sufficient,"On-site or subsidized childcare (nursery, kindergarten)"
113,United States,India,Prefer not to say,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,2,0,Male,Always,Always,Not Available,Mostly,Always,Not Available,Always,Never,Rarely,Not Available,Never,Always,Not Available,Mostly,No,Yes,"Gender Bias, Emotional harrassment, Mental harrassment",No,No,,"Yes, but I responded later.","Yes, I reported the issue.",Supervisor,Strict actions were taken.,Not comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",No,Yes,Maybe,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,I believe these group benefit activities should always be done by techs and lab managers; my time as a post doc is more valuable,"No, I don’t have time for such activities",,,Sometimes,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,None
114,India,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,3,0,Male,Mostly,Mostly,Not Available,Mostly,Always,Always,Always,Not Available,Always,Not Available,Mostly,Always,Not Available,Always,Not sure,No,,No,No,,"No, I did not know how to respond so I let it pass.","No, I did not know whom to report.",I don't know.,,,No,No,Yes,No,Mostly,Sometimes,Sometimes,Mostly,Rarely,Mostly,,,"No, but I want to get involved",,,Sometimes,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,None
115,Canada,Canada,Female,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,3,2,Male,Never,Mostly,Not Available,Not Available,Never,Moderately,Not Available,Always,Always,Not Available,Not Available,Moderately,Not Available,Always,Not sure,No,Gender Bias,Yes,Yes,Gender bias,I advised the colleague during and after the fact.,"No, I did not know whom to report.",I don't know.,No actions were taken.,Not comfortable,No,No,Maybe,Yes,Sometimes,Sometimes,Sometimes,Mostly,Sometimes,Sometimes,Perfectionism,,Yes,Usually group lunches/dinners where we can talk about issues we face without the male colleagues getting defensive.,There isn't. However my last PI (a woman) was very helpful in my battery development.,Sometimes,Never discussed,Sufficient,Sufficient,Sufficient,Sufficient,"On-site or subsidized childcare (nursery, kindergarten)"
116,Germany,India,Female,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,2,2,Male,Mostly,Rarely,Moderately,Mostly,Always,Not Available,Mostly,Mostly,Moderately,Mostly,Mostly,Always,Not Available,Mostly,Yes,No,"Emotional harrassment, Mental harrassment",Yes,No,Mental harrassment,"Yes, I immediately responded.","Yes, I reported the issue.",Supervisor,Warnings ,Very comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",Yes,Yes,Mostly,Mostly,Sometimes,Mostly,Mostly,Mostly,,,Yes,I help them by giving them proper counseling and support. Always trying to understand the situation from a third person perspective to create friendly atmosphere. Also at the same time empathizing with the victim and helping her/him to come stronger.  ,Proper rules which is not based on gender roles. Scientist should be neutral term when it comes to work place. ,Mostly,Supportive,None,None,Sufficient,Sufficient,"I am not aware of it, since I am not a mother."
117,India,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Non-profit institution,4,1,Male,Mostly,Mostly,Not Available,Moderately,Rarely,Moderately,Always,Moderately,Always,Not Available,Moderately,Mostly,Not Available,Always,Yes,No,"Bullying about the way a female dresses, walks, ",Yes,No,"Gender bias, Mental harrassment","While the bullying was happening to me, I scolded back and I discouraged the person from passing any such comments to me. ",The person who committed the mistake is one of the authority to whom we should report.,"Supervisor, Human Resources",No actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, I would be cornered if I had to raise my voice against the bullying happening to others. When it happened to me, I scolded the person and left the place. ",Yes,Yes,Mostly,Sometimes,Mostly,Mostly,Sometimes,Mostly,Its my nature to organize things. ,,"No, I don’t have such opportunities",,"So far I've not seen discrimination in females getting leadership roles provided they are extra ordinarily doing well in their field. To deliver in particular with males, Females should be given flexible working time as they also have additional responsibilities at home. ",Rarely,Neutral,Insufficient,None,Sufficient,None,None
118,United States,India,Female,40 - 50,Married,"Science, Technology, Engineering, Mathematics [STEM]",Staff Scientist,University,3,2,Female,Moderately,Moderately,Moderately,Moderately,Always,Always,Mostly,Never,Rarely,Rarely,Never,Always,Always,Mostly,Yes,Yes,"Sexual harrassment, Emotional harrassment, Mental harrassment, Racism",No,No,,"No, I was afraid of furthering the issue.","No, I was afraid of being misjudged.",Supervisor,No actions were taken.,Somewhat comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, Grudges, emotional distress, unfriendly work environment ",Yes,Maybe,Mostly,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Scientific citizenship,,"No, but I want to get involved",,"Trust, free environment without threats and grudges",Mostly,Disrespectful,None,None,Insufficient,Insufficient,None
119,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Group leader,Consulting ,4,1,Male,Always,Always,Mostly,Mostly,Mostly,Always,Mostly,Mostly,Mostly,Mostly,Mostly,Always,Mostly,Mostly,Yes,Yes,Gender Bias,Yes,Yes,"Gender bias, Sexual harrassment","Yes, but I responded later.","Yes, I reported the issue.","Supervisor, Human Resources",Strict actions were taken.,Somewhat comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?","Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",Yes,Yes,Mostly,Mostly,Mostly,Always,Mostly,Always,,,Yes,,Leadership ,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,Can bring my kid if necessary 
120,United States,India,Female,50 - 60,Social Partnership,"Science, Technology, Engineering, Mathematics [STEM]",Staff Scientist,Industry,3,1,Male,Moderately,Moderately,Not Available,Mostly,Always,Not Available,Mostly,Moderately,Moderately,Not Available,Mostly,Moderately,Not Available,Mostly,Yes,Yes,"Gender Bias, Mental harrassment",Yes,Yes,"Gender bias, Emotional harrassment, Mental harrassment","No, I did not know how to respond so I let it pass.","No, I did not know whom to report.",I don't know.,No actions were taken.,Not comfortable,No,No,Yes,Maybe,Sometimes,Mostly,Sometimes,Mostly,Sometimes,Always,To be a good lab citizen,,Yes,To help with finishing the work,Show appreciation ,Sometimes,Neutral,Insufficient,None,Insufficient,Insufficient,None
121,Portugal,India,Female,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,Research institution,4,3,Male,Moderately,Mostly,Not Available,Mostly,Moderately,Not Available,Mostly,Mostly,Moderately,Not Available,Moderately,Rarely,Not Available,Mostly,Not sure,No,,Not sure,Not sure,,,,,,,,,Yes,Yes,Mostly,Mostly,Sometimes,Sometimes,Sometimes,Mostly,"a better team environment ,to encourage engagement among team members",,"No, I don’t have such opportunities",,An open dialogue with the boss/supervisor is essential. ,Sometimes,Neutral,Insufficient,Insufficient,Insufficient,Insufficient,None
122,India,India,Female,40 - 50,Married,"Science, Technology, Engineering, Mathematics [STEM]",M.Sc Biotechnology,Research institution,6,10,Female,Always,Always,Not Available,Not Available,Always,Moderately,Always,Always,Always,Not Available,Not Available,Always,Not Available,Always,No,No,,No,No,,I never experienced such case,I never experienced such cases,I don't know.,I never experienced,Not required,Not required,Not required,Maybe,Maybe,Rarely,Sometimes,Sometimes,Sometimes,Never,Never,I would like to free my hand in all lab work ,I would love ,"No, I don’t have such opportunities",Not required,They need cooperation and little bit time flexibility should be there for women,Sometimes,Supportive,None,None,Sufficient,Sufficient,Extension of work contract to cover the personal leave
123,United States,India,Female,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,5,3,Female,Moderately,Always,Not Available,Moderately,Always,Not Available,Always,Always,Always,Not Available,Mostly,Not Available,Not Available,Always,No,No,,No,No,,,,,,,,,Yes,Yes,Rarely,Sometimes,Sometimes,Mostly,Sometimes,Always,1. I get experience. 2. It keeps things in order hence a smooth research environment for me too. 3. I like doing these (something to take off my mind off research !!),,"No, but I want to get involved",,Encouraging words. Words of respect.,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient," I am not sure of all of these. hence, cannot answer."
124,India,India,Female,20 - 30,Married,"Science, Technology, Engineering, Mathematics [STEM]",Science communicator,Non-profit institution,1,3,Female,Mostly,Mostly,Not Available,Not Available,Mostly,Mostly,Mostly,Mostly,Mostly,Not Available,Moderately,Mostly,Not Available,Mostly,Not sure,Not sure,,Yes,Yes,"Gender bias, Sexual harrassment, Emotional harrassment","No, I did not know how to respond so I let it pass.","No, I did not know whom to report.",Supervisor,,,,,Maybe,Yes,Mostly,Mostly,Sometimes,Always,Sometimes,Mostly,,,"No, but I want to get involved",,,Always,Supportive,Sufficient,Insufficient,Insufficient,Insufficient,"On-site or subsidized childcare (nursery, kindergarten)"
125,India,India,Female,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,Research institution,3,0,Male,Moderately,Always,Moderately,Mostly,Always,Rarely,Always,Mostly,Always,Mostly,Mostly,Always,Mostly,Always,Yes,Not sure,"Sexual harrassment, Physical harrassment, Mental harrassment",Yes,Not sure,Gender bias,"Yes, I immediately responded.","Yes, I reported the issue.","Colleague, Designated committee",No actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",Maybe,Maybe,Mostly,Sometimes,Sometimes,Always,Rarely,Always,,,"No, I don’t have such opportunities",,,Sometimes,Unwelcome,Sufficient,Insufficient,Sufficient,Insufficient,None
126,India,India,Male,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",Junior Research Fellow,Research institution,3,1,Male,Always,Always,Moderately,Moderately,Always,Always,Always,Always,Always,Moderately,Moderately,Always,Always,Always,Not sure,Not sure,,Not sure,Not sure,,I don't face it,I don't face it,Supervisor,I don'tface it,I didn't face it,I don't face it,I don't face it,Yes,Yes,Always,Always,Always,Always,Always,Always,,,"No, but I want to get involved",,,Always,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Extension of work contract to cover the personal leave, Career support programs (meeting, workshop etc.) to empower working mothers"
127,Canada,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,3,0,Male,Mostly,Moderately,Moderately,Moderately,Always,Always,Always,Mostly,Mostly,Moderately,Mostly,Always,Always,Mostly,No,No,,Yes,No,Emotional harrassment,"No, I did not know how to respond so I let it pass.","No, I did not know whom to report.",I don't know.,No actions were taken.,Not comfortable,,,Yes,No,Sometimes,Sometimes,Sometimes,Mostly,Sometimes,Mostly,,,"No, but I want to get involved",,,Mostly,Supportive,Sufficient,Insufficient,Sufficient,None,None
128,India,India,Female,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,3,0,Male,Mostly,Mostly,Moderately,Mostly,Rarely,Not Available,Mostly,Not Available,Mostly,Moderately,Mostly,Rarely,Not Available,Mostly,Yes,Yes,"Gender Bias, Sexual harrassment, Emotional harrassment",Yes,Yes,"Gender bias, Emotional harrassment","Yes, I immediately responded.","Yes, I reported the issue.",Designated committee,No actions were taken.,Somewhat comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, The members of the committee badly wanted to ignore the complaint and save the accused. They first tried to convince me that it was all my mistake. Having realized that they can't mislead me easily, they took a U-turn. They have promised me that they will remove the accused from his position. Later, I realized that he was still continuing with his work in our lab. They made him to come whenever I was not around.   I feel that this gives a bad impression about the work culture of our lab - if a boy has some amount of publications, then the faculties are hard bent to retain him in the lab, no matter what atrocities they commit.",Maybe,Maybe,Always,Sometimes,Sometimes,Mostly,Mostly,Mostly,"When I volunteer, I do that to take break fro the routine work.",I don't volunteer when I have a lot of work to do.,Yes,Listen to my female colleagues - their challenges at workplace. I'm also a part of a student organisation which sensitizes the problems faced by women and  sexual minorities.,Unbiased treatment; environment which allows them to be what they are.,Mostly,Supportive,Sufficient,None,Sufficient,Insufficient,"Flexible HR policy or other administrative support, Financial support for getting a helping hand or intern to help at work during pregnancy/ illness"
129,United States,India,Female,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,2,0,Male,Mostly,Moderately,Not Available,Moderately,Always,Not Available,Always,Not Available,Moderately,Not Available,Not Available,Always,Not Available,Always,No,Yes,Emotional harrassment,Yes,No,Emotional harrassment,By giving emotional support.,Communated to the graduate school authority,"Supervisor, Designated committee",No actions were taken.,Somewhat comfortable,No,No,Yes,Maybe,Mostly,Mostly,Always,Always,Rarely,Rarely,"It is the way I am, I believe team work and success of organization is far important than personal benefits. Personal success follows the success of the organization",,"No, but I want to get involved",,"It is unfortunate that this sort of discrimination exists in the most highly educated class of society. Strict rules must be passed, keeping in mind that the rules must not be taken for advantage for personal ego satisfaction. I personally witnessed, how female colluegues used gender discrimination to win over authority and to quench egos. This was unfortunate. I strongly believe, the rules must be gender neutral rather than favoring a gender. As, many decades from now, if we favor one section of population, the scenario will reverse. And discrimination exists in other form. We have to reinforce everyone is equal rather than promoting one section. ","At research University, no one is following strictly the work timings. Demand and pressure from boss makes you forgo personal life. I guess this is the case of everyone in research.",Never discussed. But definitely not supportive in reality. This is my experience in Germany. I have just started a postdoc position in US. So not sure yet about it in this place.,Sufficient,Sufficient,Sufficient,Sufficient,"None, My view points are considering my research life in Germany. I just started in US. The holiday system as per German rules is very great. But me and my colleagues were indirectly harassed to sign our holidays but still continue to work. Work over German National holidays and chirstmas, new year as well as Indian's don't celebrate. This is very disheartening from the lab I did my PhD."
130,Germany,India,Male,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,3,3,Male,Never,Never,Not Available,Never,Always,Not Available,Moderately,Not Available,Mostly,Not Available,Mostly,Always,Not Available,Mostly,No,No,,No,Yes,Gender bias,"I was directly not involved in the incident. I was aware of the issue much later, so I could not repsond.","No, I did not know whom to report.",I don't know.,,Not comfortable,,,Maybe,Maybe,Mostly,Mostly,Sometimes,Mostly,Never,Never,,"Being a PhD, we are expected to work on the projects and not involve in extracurricular activities irrespective of our gender","No, I don’t have such opportunities",,Being allowed the comfort of choice and the associated support,Never,Disrespectful,Sufficient,Sufficient,Sufficient,Sufficient,None
131,United States,India,Female,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,2,3,Male,Mostly,Not Available,Not Available,Mostly,Mostly,Not Available,Mostly,Mostly,Always,Not Available,Rarely,Always,Not Available,Always,No,Yes,Favoritism based discrimination at work ,No,No,,Never experienced gender bias ,NA,I don't know.,NA,NA,NA,NA,Yes,Yes,Always,Always,Always,Always,Always,Always,No incentives ,NA,"No, but I want to get involved",,,Sometimes,"Passive aggressive, accepts and approves with smile but makes the work life more stressful after you come back from vacation ",Insufficient,Insufficient,Sufficient,Sufficient,Not sure 
132,India,India,Female,40 - 50,Married,"Science, Technology, Engineering, Mathematics [STEM]",Group leader,Industry,6,3,Male,Mostly,Always,Moderately,Mostly,Mostly,Moderately,Always,Moderately,Mostly,Moderately,Mostly,Mostly,Moderately,Always,Yes,No,Mental harrassment,No,No,,"Yes, I immediately responded.","Yes, I reported the issue.",I don't know.,No actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",Yes,Yes,Mostly,Mostly,Mostly,Mostly,Mostly,Sometimes,,,Yes,,,Sometimes,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,None
133,India,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,4,1,Male,Mostly,Always,Moderately,Moderately,Mostly,Always,Always,Mostly,Always,Mostly,Mostly,Mostly,Always,Always,Yes,No,Gender Bias,No,Yes,Gender bias,"Yes, but I responded later.","No, I was afraid of being misjudged.",I don't know.,No actions were taken.,Not comfortable,No,No,Maybe,Yes,Mostly,Sometimes,Sometimes,Always,Sometimes,Always,"The belongingness towards the lab. The fact that it is the place which is giving me the pleasures and comforts of life. Moreover, it is an inculcated habit.",,"No, but I want to get involved",,Moral support,Mostly,Supportive,Sufficient,Insufficient,Sufficient,None,"Extension of work contract to cover the personal leave, On-site or subsidized childcare (nursery, kindergarten), Nursing room(s)"
134,India,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,3,2,Male,Mostly,Mostly,Moderately,Mostly,Always,Moderately,Mostly,Rarely,Mostly,Not Available,Mostly,Always,Not Available,Mostly,No,Not Available,,No,Not Available,,"Yes, but I responded later.",Someone else reported the issue on my behalf.,"Supervisor, Human Resources",Strict actions were taken.,Somewhat comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",No,Yes,Maybe,Sometimes,Mostly,Sometimes,Sometimes,Mostly,Sometimes,A bias free enviornment. equality,,"No, but I want to get involved",,an equality based group,Mostly,Supportive,Sufficient,None,Sufficient,Insufficient,None
135,United States,India,Male,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,0,2,Female,Not Available,Moderately,Not Available,Moderately,Always,Not Available,Moderately,Mostly,Moderately,Not Available,Moderately,Always,Always,Moderately,Not sure,Not sure,,Not sure,Not sure,,Never recognized such an instance,Never recognized such an instance,Supervisor,Never recognized such an instance,Never recognized such an instance,Never recognized such an instance,Never recognized such an instance,Maybe,Maybe,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Team work,,"No, but I want to get involved",,"Active listening, collaborative problem-solving and policy changes, if required",Sometimes,Neutral,Insufficient,Insufficient,Insufficient,Insufficient,Don't know
136,United States,Guinea,Male,20 - 30,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,4,0,Male,Mostly,Moderately,Not Available,Not Available,Always,Always,Mostly,Not Available,Moderately,Not Available,Not Available,Always,Always,Mostly,No,No,,No,No,,Never experienced,Not experienced ,"Supervisor, Human Resources, Designated committee",Never complained as never experienced ,NA,NA,NA,Maybe,Maybe,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,,,"No, but I want to get involved",,"Non discrimination, equal rights.",Rarely,I do not know as I am new in my job.,Insufficient,None,Insufficient,Insufficient,"Career support programs (meeting, workshop etc.) to empower working mothers, On-site or subsidized childcare (nursery, kindergarten)"
137,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Staff Scientist,University,2,0,Male,Moderately,Moderately,Not Available,Not Available,Always,Mostly,Mostly,Not Available,Not Available,Not Available,Not Available,Always,Not Available,Mostly,Yes,Not Available,"Sexual harrassment, Emotional harrassment",Not sure,Do not wish to answer,,"In one case yes, in another case no I did not respond in time but cut contact with the person in question.",I confided in a female prof and together we worked out a strategy to deal with it. I ultimately did not file an official report.,"Colleague, Supervisor, Human Resources",Seriously. But before an official complain was made the situation was diffused. ,Somewhat comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, In one case the person himself stopped all contact after months of harassment. ",No,Maybe,Maybe,Sometimes,Sometimes,Rarely,Mostly,Rarely,Always,Used to do it but never thought about incentives. ,I have stopped volunteering after noticing male collegues do not take it on. So I don't want to be the one doing this. It's not my job. ,"No, but I want to get involved",,Mentorship. I strongly feel academics lack good mentorship. As an eg. In my 13 years I was never encouraged to write a grant. Things like that. Professors should be evaluated on there mentorship ability together with contributions and fame in a field.,Always,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,Nope. In general maternity leave and childcare benefits can be better. Its all too expensive and costs women more than man. I mean factor in time away from work etc. 
138,India,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,4,0,Male,Mostly,Mostly,Moderately,Moderately,Always,Always,Mostly,Moderately,Moderately,Mostly,Mostly,Always,Moderately,Mostly,Yes,No,"Emotional harrassment, Mental harrassment",Yes,Not sure,"Emotional harrassment, Mental harrassment","Yes, I immediately responded.","Yes, I reported the issue.",Supervisor,Actions were taken but not taken seriously,Somewhat comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, Unfriendly work environment, indirect comments ",Maybe,Maybe,Mostly,Never,Mostly,Mostly,Sometimes,Sometimes,,,Yes,,,Sometimes,Never discussed,None,None,None,None,None
139,United States,United States,Male,40 - 50,Married,"Science, Technology, Engineering, Mathematics [STEM]",Group leader,University,5,2,Female,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Always,Always,Always,Always,Always,Always,Always,No,No,,No,Yes,Mental harrassment,"Yes, I immediately responded.","Yes, I reported the issue.",Designated committee,No actions were taken.,Very comfortable,Not sure,No,Maybe,Yes,Always,Mostly,Always,Always,Always,Always,,,Yes,Hiring students and postdocs and providing them the right mentorship,equal status and enabling the resources for them to succeed,Mostly,Neutral,Insufficient,Sufficient,Sufficient,Insufficient,"Extension of work contract to cover the personal leave, Flexible HR policy or other administrative support, Career support programs (meeting, workshop etc.) to empower working mothers, Nursing room(s)"
140,Switzerland,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,2,1,Female,Mostly,Mostly,Not Available,Moderately,Always,Not Available,Always,Mostly,Mostly,Not Available,Always,Always,Always,Always,No,No,,No,No,,,,,,,,,Yes,Yes,Always,Always,Sometimes,Sometimes,Sometimes,Mostly,Feeling responsible,,"No, I don’t have such opportunities",,Equal responsibility and respect,Always,Supportive,Sufficient,None,None,None,"Career support programs (meeting, workshop etc.) to empower working mothers, On-site or subsidized childcare (nursery, kindergarten)"
